algo,size,density,time
logsort,100000,0.25,0.03831037300005846
qsort,100000,0.25,0.03427606200057198
logsort,100000,0.25,0.04854664600134129
qsort,100000,0.25,0.038930901000640006
logsort,100000,0.25,0.039055106999512645
qsort,100000,0.25,0.039699805000054766
logsort,100000,0.25,0.04769094999937806
qsort,100000,0.25,0.03938491400003841
logsort,100000,0.5,0.03972812299980433
qsort,100000,0.5,0.03306832599992049
logsort,100000,0.5,0.04014409199953661
qsort,100000,0.5,0.03381662399988272
logsort,100000,0.5,0.049354920998666785
qsort,100000,0.5,0.03906063399881532
logsort,100000,0.5,0.04676864799876057
qsort,100000,0.5,0.034633743000085815
logsort,100000,0.5,0.04878801300037594
qsort,100000,0.5,0.03681787599998643
logsort,100000,1.0,0.04155349400025443
qsort,100000,1.0,0.03550076999999874
logsort,100000,1.0,0.053186017999905744
qsort,100000,1.0,0.0298034480001661
logsort,100000,1.0,0.05066870100017695
qsort,100000,1.0,0.03417483699922741
logsort,100000,1.0,0.045231887001136784
qsort,100000,1.0,0.03456285199899867
logsort,100000,1.0,0.04329749200041988
qsort,100000,1.0,0.03658890899896505
logsort,200000,0.01,0.06773789999897417
qsort,200000,0.01,0.05681427800118399
logsort,200000,0.01,0.05567049799901724
qsort,200000,0.01,0.049080567001510644
logsort,200000,0.01,0.06004938499972923
qsort,200000,0.01,0.04940159700163349
logsort,200000,0.01,0.05800764000014169
qsort,200000,0.01,0.049191522999535664
logsort,200000,0.01,0.055469188999268226
qsort,200000,0.01,0.049590118000196526
logsort,200000,0.05,0.06311233999986143
qsort,200000,0.05,0.05056985699957295
logsort,200000,0.05,0.06896393200077
qsort,200000,0.05,0.06331112699990626
logsort,200000,0.05,0.06500372499976947
qsort,200000,0.05,0.04983507900033146
logsort,200000,0.05,0.06335068800035515
qsort,200000,0.05,0.05842541699894355
logsort,200000,0.05,0.065098950999527
qsort,200000,0.05,0.05904487599946151
logsort,200000,0.1,0.067833545999747
qsort,200000,0.1,0.05319297399910283
logsort,200000,0.1,0.07409883599939349
qsort,200000,0.1,0.05158356300125888
logsort,200000,0.1,0.07051864599998225
qsort,200000,0.1,0.05133159000070009
